name,local name,homepage,Alternative names,image url,country,city,key subjects,key subject scores,institutions
State University of Maringa,,http://www.uem.br/,[],https://upload.wikimedia.org/wikipedia/commons/1/1c/Uem-logo2.gif,Brazil,Maringá,"['Biology', 'Chemistry', 'Philosophy', 'Medicine', 'Art', 'Physics', 'Humanities', 'Biochemistry', 'Organic chemistry', 'Ecology']","[54.5, 37.5, 36.0, 35.0, 31.9, 29.9, 28.3, 23.7, 23.1, 21.7]",[]
Londrina State University,,http://www.uel.br/portal/,['Universidade Estadual de Londrina'],https://upload.wikimedia.org/wikipedia/en/2/2b/RU_UEL.JPG,Brazil,Londrina,"['Biology', 'Philosophy', 'Medicine', 'Art', 'Humanities', 'Chemistry', 'Physics', 'Biochemistry', 'Genetics', 'Psychology']","[49.3, 39.4, 38.4, 35.5, 32.3, 30.7, 24.6, 20.9, 20.4, 20.1]",['Hospital Universitário Regional do Norte do Paraná']
Federal University of Uberlândia,,http://www.ufu.br/,[],https://upload.wikimedia.org/wikipedia/commons/f/f6/Espa%%C3%%A7oF%%C3%%ADsico2UFU.jpg,Brazil,Uberlândia,"['Biology', 'Philosophy', 'Physics', 'Art', 'Medicine', 'Chemistry', 'Humanities', 'Computer science', 'Engineering', 'Mathematics']","[46.2, 36.3, 32.9, 32.0, 31.6, 29.0, 28.5, 24.0, 23.0, 22.4]",[]
Federal University of Para,Università Federale del Pará,http://www.portal.ufpa.br/,[],https://upload.wikimedia.org/wikipedia/en/1/19/Ufpa_resized.png,Brazil,Belém,"['Biology', 'Philosophy', 'Art', 'Humanities', 'Medicine', 'Chemistry', 'Physics', 'Ecology', 'Geography', 'Geology', 'Computer science']","[49.2, 41.7, 38.0, 34.7, 30.7, 26.8, 26.7, 23.4, 21.7, 20.9, 20.2]",[]
Federal University of Bahia,Università federale di Bahia,https://www.ufba.br/,['Universidade Federal da Bahia'],https://upload.wikimedia.org/wikipedia/commons/4/40/Bras%%C3%%A3o_da_UFBA.png,Brazil,Salvador,"['Biology', 'Medicine', 'Chemistry', 'Philosophy', 'Physics', 'Computer science', 'Mathematics', 'Internal medicine', 'Art', 'Pathology', 'Engineering', 'Biochemistry', 'Genetics', 'Psychology']","[55.6, 46.2, 33.1, 30.5, 29.4, 25.9, 25.4, 25.4, 24.2, 22.5, 21.9, 21.6, 21.6, 21.6]",[]
Universidade Federal de Pelotas,,http://portal.ufpel.edu.br/#,[],https://upload.wikimedia.org/wikipedia/commons/4/49/UFPEL-ESCUDO-2013.png,Brazil,Pelotas,"['Biology', 'Medicine', 'Philosophy', 'Chemistry', 'Art', 'Humanities', 'Physics', 'Mathematics', 'Internal medicine', 'Genetics']","[55.1, 43.9, 34.2, 32.0, 30.7, 26.9, 26.7, 22.8, 21.0, 20.3]",[]
Universidade Federal do Espírito Santo,,http://portal.ufes.br/,[],https://upload.wikimedia.org/wikipedia/commons/1/1a/Bras%%C3%%A3o_Ufes.svg,Brazil,Vitória,"['Biology', 'Philosophy', 'Art', 'Medicine', 'Humanities', 'Physics', 'Chemistry', 'Computer science', 'Mathematics', 'Engineering']","[46.1, 40.1, 34.5, 31.1, 30.4, 29.6, 26.2, 24.2, 23.7, 21.0]",[]
Pontifical Catholic University of Rio de Janeiro,Pontificia Università Cattolica di Rio de Janeiro,http://www.puc-rio.br/english/,['PUC-Rio'],https://upload.wikimedia.org/wikipedia/en/f/fd/Brasaov.gif,Brazil,Rio de Janeiro,"['Computer science', 'Physics', 'Philosophy', 'Engineering', 'Mathematics', 'Quantum mechanics', 'Biology', 'Art', 'Chemistry', 'Materials science', 'Humanities', 'Political science']","[44.7, 44.5, 39.6, 39.6, 39.4, 32.2, 30.0, 28.7, 24.1, 22.1, 21.9, 21.1]",[]
Pontifical Catholic University of Rio Grande do Sul,Pontifícia Universidade Católica do Rio Grande do Sul,http://www.pucrs.br/portal/?p=en,[],https://upload.wikimedia.org/wikipedia/commons/3/38/Montagem_PUCRS.jpg,Brazil,Porto Alegre,"['Philosophy', 'Biology', 'Medicine', 'Art', 'Humanities', 'Psychology', 'Computer science', 'Internal medicine', 'Physics', 'Chemistry', 'Political science']","[44.1, 42.7, 39.4, 36.3, 31.7, 29.6, 23.9, 21.6, 21.4, 21.4, 21.2]",['Hospital São Lucas da PUCRS']
Federal University of Lavras,,http://www.ufla.br/,[],https://upload.wikimedia.org/wikipedia/commons/b/b4/Universidade_Federal_de_Lavras_%28Biblioteca_Central%29_-_panoramio.jpg,Brazil,Lavras,"['Biology', 'Chemistry', 'Ecology', 'Botany', 'Physics', 'Horticulture', 'Geology', 'Medicine', 'Agronomy', 'Biochemistry', 'Organic chemistry', 'Mathematics', 'Geography', 'Philosophy', 'Genetics', 'Engineering']","[73.7, 45.2, 37.9, 37.5, 33.9, 32.8, 28.8, 27.2, 25.9, 25.1, 25.1, 23.4, 23.4, 22.6, 21.5, 20.2]",[]
Universidade Federal de Juiz de Fora,,http://www.ufjf.br/portal/,[],https://upload.wikimedia.org/wikipedia/commons/e/e0/Bras%%C3%%A3o_da_UFJF.png,Brazil,Juiz de Fora,"['Biology', 'Medicine', 'Philosophy', 'Art', 'Physics', 'Humanities', 'Chemistry', 'Computer science', 'Mathematics', 'Quantum mechanics', 'Psychology', 'Engineering']","[44.3, 39.4, 39.3, 33.7, 33.4, 29.5, 26.5, 25.8, 25.4, 21.7, 21.2, 20.6]",['Hospital Universitário - Universidade Federal de Juiz de Fora']
