name,local name,homepage,Alternative names,image url,country,city,key subjects,key subject scores,institutions
University of Ferrara,Università degli Studi di Ferrara,http://www.unife.it/,[],https://upload.wikimedia.org/wikipedia/commons/8/80/01_Ex_Convento_Santa_Lucia_-_Ferrara.jpg,Italy,Ferrara,"['Biology', 'Medicine', 'Chemistry', 'Physics', 'Internal medicine', 'Biochemistry', 'Genetics', 'Quantum mechanics', 'Mathematics', 'Engineering', 'Organic chemistry', 'Computer science', 'Psychology', 'Pathology', 'Materials science']","[69.4, 55.0, 51.6, 47.4, 41.9, 37.8, 37.8, 29.1, 28.9, 28.4, 27.2, 26.7, 24.0, 23.5, 20.9]","['INFN Sezione di Ferrara', 'Laboratorio di Tecniche Nucleari per i Beni Culturali', ""Arcispedale Sant'Anna""]"
University of Trieste,Università di Trieste,http://www.units.it/,[],,Italy,Trieste,"['Biology', 'Physics', 'Chemistry', 'Medicine', 'Quantum mechanics', 'Mathematics', 'Engineering', 'Computer science', 'Biochemistry', 'Internal medicine', 'Genetics', 'Organic chemistry', 'Materials science']","[59.2, 57.4, 46.7, 43.0, 41.4, 34.8, 33.3, 32.2, 29.5, 29.3, 28.6, 28.5, 26.4]","['INFN Sezione di Trieste', 'Azienda Ospedaliero Universitaria Ospedali Riuniti']"
University of Cagliari,Università degli Studi di Cagliari,http://www.unica.it/,[],https://upload.wikimedia.org/wikipedia/commons/d/de/Logo_Universit%%C3%%A0_di_Cagliari.jpg,Italy,Cagliari,"['Biology', 'Medicine', 'Chemistry', 'Physics', 'Internal medicine', 'Genetics', 'Biochemistry', 'Computer science', 'Mathematics', 'Engineering', 'Quantum mechanics', 'Psychology', 'Organic chemistry', 'Pathology', 'Materials science']","[65.8, 50.8, 48.5, 43.4, 36.9, 34.3, 33.8, 33.2, 32.3, 30.5, 28.5, 27.6, 25.7, 22.7, 20.2]",['INFN Sezione di Cagliari']
University of Trento,Università degli Studi di Trento,http://www.unitn.it/en,[],https://upload.wikimedia.org/wikipedia/commons/0/08/Logo123456.jpg,Italy,Trento,"['Computer science', 'Physics', 'Mathematics', 'Engineering', 'Biology', 'Quantum mechanics', 'Chemistry', 'Artificial intelligence', 'Philosophy', 'Materials science', 'Psychology', 'Medicine', 'Economics', 'Geography', 'Geology', 'Organic chemistry', 'Programming language']","[57.6, 55.9, 49.8, 49.1, 44.6, 41.9, 33.0, 26.3, 26.3, 25.5, 25.0, 24.7, 23.2, 21.9, 21.8, 21.0, 20.3]","['The Microsoft Research - University of Trento Centre for Computational and Systems Biology', 'Trento Institute for Fundamental Physics and Applications']"
University of Salerno,Università di Salerno,http://www.unisa.it/,[],https://upload.wikimedia.org/wikipedia/commons/c/cc/Unisa_-_Vista_da_Ingegneria.jpg,Italy,Fisciano,"['Physics', 'Biology', 'Computer science', 'Mathematics', 'Engineering', 'Chemistry', 'Quantum mechanics', 'Medicine', 'Organic chemistry', 'Biochemistry', 'Materials science', 'Genetics', 'Artificial intelligence', 'Thermodynamics']","[55.3, 53.4, 47.6, 46.0, 44.4, 42.3, 39.1, 32.0, 27.3, 25.8, 25.8, 20.9, 20.6, 20.2]",[]
University of Brescia,Università degli Studi di Brescia,http://www.unibs.it/,[],https://upload.wikimedia.org/wikipedia/en/1/17/Logo_University_of_Brescia.svg,Italy,Brescia,"['Biology', 'Medicine', 'Internal medicine', 'Chemistry', 'Physics', 'Genetics', 'Pathology', 'Mathematics', 'Computer science', 'Biochemistry', 'Engineering', 'Psychology', 'Surgery', 'Quantum mechanics']","[69.0, 65.7, 52.0, 42.8, 37.8, 37.6, 36.1, 33.8, 30.7, 30.4, 30.0, 30.0, 24.7, 22.5]",[]
University of L'Aquila,Università degli Studi dell'Aquila,http://www.univaq.it/en/,[],https://upload.wikimedia.org/wikipedia/commons/1/11/UnivaqLogo.png,Italy,L’Aquila,"['Biology', 'Physics', 'Medicine', 'Computer science', 'Engineering', 'Chemistry', 'Mathematics', 'Quantum mechanics', 'Internal medicine', 'Genetics', 'Biochemistry', 'Organic chemistry', 'Materials science', 'Psychology', 'Geology', 'Pathology']","[58.6, 53.6, 43.6, 42.8, 42.8, 41.9, 41.6, 37.8, 31.1, 27.3, 26.3, 22.8, 22.6, 22.1, 20.9, 20.3]",[]
Vita-Salute San Raffaele University,Università Vita-Salute San Raffaele,http://www.unisr.it/,[],,Italy,Milan,"['Medicine', 'Biology', 'Internal medicine', 'Genetics', 'Pathology', 'Surgery', 'Chemistry', 'Psychology', 'Biochemistry', 'Immunology', 'Psychiatry', 'Endocrinology', 'Radiology', 'Mathematics', 'Physics']","[94.3, 84.6, 79.0, 55.8, 52.3, 43.6, 42.8, 41.3, 38.9, 31.9, 31.3, 27.1, 26.5, 21.7, 21.3]",['IRCCS Ospedale San Raffaele']
University of Udine,Università degli Studi di Udine,http://www.uniud.it/en/uniud-international?set_language=en,[],https://upload.wikimedia.org/wikipedia/en/7/7c/Uniudlogo.png,Italy,Udine,"['Biology', 'Medicine', 'Physics', 'Chemistry', 'Mathematics', 'Computer science', 'Internal medicine', 'Genetics', 'Engineering', 'Quantum mechanics', 'Biochemistry', 'Pathology', 'Psychology']","[64.0, 50.5, 45.1, 40.1, 39.5, 37.5, 34.8, 32.9, 32.1, 29.0, 27.8, 23.8, 22.3]",['Ospedale Santa Maria della Misericordia di Udine']
University of Calabria,Università della Calabria,http://www.unical.it/portale/,[],https://upload.wikimedia.org/wikipedia/commons/8/81/Unical_Rende_%%28CS%%29.jpg,Italy,Rende,"['Physics', 'Biology', 'Engineering', 'Computer science', 'Chemistry', 'Mathematics', 'Quantum mechanics', 'Organic chemistry', 'Materials science', 'Biochemistry', 'Medicine', 'Geology', 'Genetics', 'Geography']","[58.0, 54.7, 49.7, 47.8, 46.8, 43.4, 42.4, 32.8, 32.3, 29.2, 25.8, 24.0, 22.7, 20.7]",[]
University of Chieti-Pescara,"Università degli Studi ""Gabriele d'Annunzio""",http://www.unich.it/,[],https://upload.wikimedia.org/wikipedia/commons/3/3c/Seal_of_the_University_of_Chieti-Pescara.png,Italy,Chieti,"['Biology', 'Medicine', 'Internal medicine', 'Chemistry', 'Genetics', 'Biochemistry', 'Psychology', 'Pathology', 'Physics', 'Surgery', 'Endocrinology', 'Psychiatry', 'Mathematics', 'Computer science', 'Organic chemistry']","[78.9, 76.8, 57.7, 46.2, 42.4, 38.2, 37.9, 36.0, 34.5, 26.6, 26.2, 26.0, 24.9, 22.0, 20.8]",[]
Marche Polytechnic University,Università Politecnica delle Marche,http://www.univpm.it/Entra/,[],https://upload.wikimedia.org/wikipedia/commons/4/4e/UnivPM-Rettorato.jpg,Italy,Ancona,"['Biology', 'Medicine', 'Physics', 'Chemistry', 'Internal medicine', 'Engineering', 'Computer science', 'Mathematics', 'Genetics', 'Pathology', 'Biochemistry', 'Geology', 'Quantum mechanics', 'Psychology']","[67.7, 53.1, 41.8, 41.5, 39.3, 37.2, 36.5, 35.8, 32.9, 28.6, 28.2, 23.7, 23.5, 21.7]",[]
Roma Tre University,Università degli Studi Roma Tre,http://www.uniroma3.it/,[],https://upload.wikimedia.org/wikipedia/en/c/c6/University_Roma_Tre_logo.svg,Italy,Rome,"['Physics', 'Computer science', 'Engineering', 'Mathematics', 'Quantum mechanics', 'Biology', 'Chemistry', 'Geology', 'Materials science', 'Geography', 'Optics', 'Medicine', 'Philosophy']","[60.0, 51.8, 48.4, 48.0, 45.2, 44.3, 31.2, 27.6, 26.5, 24.8, 22.4, 21.3, 20.8]",['INFN Sezione di Roma III']
University of Sassari,Università degli Studi di Sassari,http://www.uniss.it/php/home.php,[],https://upload.wikimedia.org/wikipedia/commons/5/58/Universit%%C3%%A9_de_Sassari.JPG,Italy,Sassari,"['Biology', 'Medicine', 'Chemistry', 'Biochemistry', 'Genetics', 'Internal medicine', 'Physics', 'Organic chemistry', 'Pathology', 'Mathematics', 'Psychology', 'Geology', 'Computer science', 'Ecology', 'Engineering']","[79.4, 60.5, 55.7, 43.1, 42.5, 41.6, 35.6, 29.0, 28.3, 22.9, 22.5, 22.3, 21.5, 20.3, 20.2]",['Azienda Ospedaliero Universitaria di Sassari']
